"id","pid","address","price","dom","first_seen","last_seen","status","gone_date","hoa"
"180-Applewood-Dr,-Unit-180,-Chicopee,-MA-01022","F_367782_2895911","180 Applewood Dr, Unit 180, Chicopee, MA 01022","209900","36","2026-07-13","2026-08-17","lingering","","296"
"505-Prospect-St,-Chicopee,-MA-01020","F_362123_2899540","505 Prospect St, Chicopee, MA 01020","349995","6","2026-07-13","2026-08-10","gone","2026-08-17",""
"62-Fairview-Ave,-Northampton,-MA-01060","M_106460_896032","62 Fairview Ave, Northampton, MA 01060","995000","43","2026-07-13","2026-08-17","lingering","",""
"56-Lincoln-Ave,-South-Hadley,-MA-01075","M_110754_887206","56 Lincoln Ave, South Hadley, MA 01075","359000","40","2026-07-13","2026-08-17","lingering","",""
"4-Sabrina-Way,-Unit-F,-Agawam,-MA-01001","F_358138_2854975","4 Sabrina Way, Unit F, Agawam, MA 01001","479900","246","2026-07-13","2026-08-17","lingering","","275"
"2-Crescent-Hl,-Springfield,-MA-01105","F_364491_2861523","2 Crescent Hl, Springfield, MA 01105","395000","43","2026-07-13","2026-08-17","lingering","",""
"20-Hawthorne-St,-Springfield,-MA-01105","F_366268_2863060","20 Hawthorne St, Springfield, MA 01105","199000","43","2026-07-13","2026-08-17","lingering","",""
"18-Keith-St,-Springfield,-MA-01108","F_366238_2859059","18 Keith St, Springfield, MA 01108","289000","35","2026-07-13","2026-08-10","gone","2026-08-17",""
"176-178-Belmont-Ave,-Springfield,-MA-01108","F_365372_2859032","176-178 Belmont Ave, Springfield, MA 01108","819900","38","2026-07-13","2026-08-17","lingering","",""
"128-Northside-Dr,-Bennington,-VT-05201","051-015-65702","128 Northside Dr, Bennington, VT 05201","265000","31","2026-07-13","2026-08-10","gone","2026-08-17",""
"7066-Main-St,-Readsboro,-VT-05350",NA,"7066 Main St, Readsboro, VT 05350","209000","40","2026-07-13","2026-08-17","lingering","",""
"129-Upper-Hampden-Rd,-Monson,-MA-01057","F_419656_2861021","129 Upper Hampden Rd, Monson, MA 01057","499413","22","2026-07-20","2026-08-10","gone","2026-08-17",""
"4-Stewart-Ave,-Monson,-MA-01057","F_436061_2863971","4 Stewart Ave, Monson, MA 01057","299250","125","2026-07-20","2026-08-17","lingering","",""
"38-Eagle-St,-Ware,-MA-01082","M_137925_890555","38 Eagle St, Ware, MA 01082","349900","34","2026-07-20","2026-08-17","lingering","",""
"72-Stafford-Rd,-Monson,-MA-01057","F_435722_2852177","72 Stafford Rd, Monson, MA 01057","724900","34","2026-07-20","2026-08-17","lingering","",""
"60-Waters-Edge-Dr,-Unit-60,-Ludlow,-MA-01056","M_118424_880306","60 Waters Edge Dr, Unit 60, Ludlow, MA 01056","280000","31","2026-07-20","2026-08-17","lingering","","225"
"375-Fuller-St,-Ludlow,-MA-01056","M_118381_882429","375 Fuller St, Ludlow, MA 01056","674413","23","2026-07-20","2026-08-10","gone","2026-08-17",""
"50-Phelps-St,-Easthampton,-MA-01027","M_102563_887587","50 Phelps St, Easthampton, MA 01027","369000","117","2026-07-20","2026-08-17","lingering","",""
"23-Randolph-Pl,-Apt-108,-Northampton,-MA-01060","M_106985_896882","23 Randolph Pl, Apt 108, Northampton, MA 01060","269000","36","2026-07-20","2026-08-17","lingering","","388"
"175-Granby-Rd,-South-Hadley,-MA-01075","M_110990_886578","175 Granby Rd, South Hadley, MA 01075","475000","36","2026-07-20","2026-08-17","lingering","",""
"6-Sherman-Ave,-Northampton,-MA-01060","M_107376_898405","6 Sherman Ave, Northampton, MA 01060","674900","34","2026-07-20","2026-08-17","lingering","",""
"385-Worthington-St,-Apt-2F,-Springfield,-MA-01103","F_360407_2865504","385 Worthington St, Apt 2F, Springfield, MA 01103","244900","34","2026-07-20","2026-08-17","lingering","","334"
"11-Mountainview-St,-Chicopee,-MA-01020","F_364141_2896370","11 Mountainview St, Chicopee, MA 01020","425000","34","2026-07-20","2026-08-17","lingering","",""
"101-Mulberry-St,-Apt-519,-Springfield,-MA-01105","F_363937_2864281","101 Mulberry St, Apt 519, Springfield, MA 01105","121500","35","2026-07-20","2026-08-17","lingering","","506"
